"Model","Accuracy","Precision","Recall","F1_Score"
"kNN",0.884479187545934,0.510204081632653,0.172314761631246,0.25762129669386
"Logistic_Regression",0.889757466426138,0.59578947368421,0.162550258472142,0.255415162454874
"Decision_Tree",0.888755261575466,0.579831932773109,0.158529580700747,0.248985115020298
"ANN",0.8889557025456,0.596107055961071,0.140723721998851,0.227695167286245
"Random_Forest",0.888087125008352,0.579326923076923,0.138426191843768,0.223458507185906
"SVM",0.888287565978486,0.601769911504425,0.117174037909248,0.196153846153846
